,vacancy,salary,link,site
78,Data Engineer (Middle+),ЗП не указана,https://hh.ru/vacancy/74093372?query=data+engineer,hh.ru
79,Data engineer,ЗП не указана,https://hh.ru/vacancy/73990483?query=data+engineer,hh.ru
80,Data Engineer,ЗП не указана,https://hh.ru/vacancy/70848827?query=data+engineer,hh.ru
81,Data Scientist / ML Инженер,ЗП не указана,https://hh.ru/vacancy/71714632?query=data+engineer,hh.ru
82,DATA инженер,от 200 000 руб.,https://hh.ru/vacancy/72933384?query=data+engineer,hh.ru
83,Lead Data Scientist (booking platform),ЗП не указана,https://hh.ru/vacancy/72663343?query=data+engineer,hh.ru
84,Data engineer (middle),ЗП не указана,https://hh.ru/vacancy/73815773?query=data+engineer,hh.ru
85,Data engineer,ЗП не указана,https://hh.ru/vacancy/72745376?query=data+engineer,hh.ru
86,Middle+/Senior Data Analyst,ЗП не указана,https://hh.ru/vacancy/73779126?query=data+engineer,hh.ru
87,Data engineer (МТS AI),ЗП не указана,https://hh.ru/vacancy/73022440?query=data+engineer,hh.ru
88,Аналитик/Data Engineer,ЗП не указана,https://hh.ru/vacancy/73774017?query=data+engineer,hh.ru
89,Data engineer (Python Hadoop Spark),ЗП не указана,https://hh.ru/vacancy/73842065?query=data+engineer,hh.ru
90,Data engineer на продукт Антиспам (Big Data),ЗП не указана,https://hh.ru/vacancy/73699841?query=data+engineer,hh.ru
91,DataOps Engineer,ЗП не указана,https://hh.ru/vacancy/70430355?query=data+engineer,hh.ru
92,Data Engineer DWH,ЗП не указана,https://hh.ru/vacancy/73186377?query=data+engineer,hh.ru
93,Data Engineer (Core Banking Products),ЗП не указана,https://hh.ru/vacancy/72086339?query=data+engineer,hh.ru
94,Data Engineer (ETL),ЗП не указана,https://hh.ru/vacancy/72882319?query=data+engineer,hh.ru
95,Data Engineer,ЗП не указана,https://hh.ru/vacancy/72884754?query=data+engineer,hh.ru
96,Business Data Engineer,ЗП не указана,https://hh.ru/vacancy/73888455?query=data+engineer,hh.ru
97,Senior Data Engineer,ЗП не указана,https://hh.ru/vacancy/73828260?query=data+engineer,hh.ru
98,Data-инженер/Дата-инженер/Инженер данных,до 200 000 руб.,https://hh.ru/vacancy/74006513?query=data+engineer,hh.ru
99,Data engineer,ЗП не указана,https://hh.ru/vacancy/70473067?query=data+engineer,hh.ru
100,Data Engineer,180 000 – 210 000 руб.,https://hh.ru/vacancy/73144346?query=data+engineer,hh.ru
101,Data engineer в СберМаркет,ЗП не указана,https://hh.ru/vacancy/55374209?query=data+engineer,hh.ru
102,Data engineer,ЗП не указана,https://hh.ru/vacancy/73811444?query=data+engineer,hh.ru
103,Data Engineer,ЗП не указана,https://hh.ru/vacancy/73832826?query=data+engineer,hh.ru
104,Data Analyst (DA)/Data Engineer(DE),ЗП не указана,https://hh.ru/vacancy/72297427?query=data+engineer,hh.ru
105,Senior Data Engineer/Data Engineer,ЗП не указана,https://hh.ru/vacancy/71227206?query=data+engineer,hh.ru
106,Дата инженер (Data engineer) Управление модельных рисков и валидации,ЗП не указана,https://hh.ru/vacancy/70506992?query=data+engineer,hh.ru
107,DataEngineer (Дата-инженер/Специалист по работе с данными),ЗП не указана,https://hh.ru/vacancy/71926094?query=data+engineer,hh.ru
108,Senior Data-инженер,ЗП не указана,https://hh.ru/vacancy/73353514?query=data+engineer,hh.ru
109,Senior Data Engineer (проект CVM),ЗП не указана,https://hh.ru/vacancy/69310084?query=data+engineer,hh.ru
110,Data Engineer/Support Engineer,ЗП не указана,https://hh.ru/vacancy/73820697?query=data+engineer,hh.ru
111,Data Engineer,ЗП не указана,https://hh.ru/vacancy/73824629?query=data+engineer,hh.ru
112,Разработчик DWH Hadoop/Data Engineer,ЗП не указана,https://hh.ru/vacancy/73825261?query=data+engineer,hh.ru
113,Senior Data Engineer (Search),ЗП не указана,https://hh.ru/vacancy/73118539?query=data+engineer,hh.ru
114,Senior Data Engineer (Streaming),ЗП не указана,https://hh.ru/vacancy/69049305?query=data+engineer,hh.ru
115,Data Analyst Python,ЗП не указана,https://hh.ru/vacancy/72064164?query=data+engineer,hh.ru
116,Data Engineer Lead / Дата инженер,ЗП не указана,https://hh.ru/vacancy/71822064?query=data+engineer,hh.ru
117,Data Engineer,ЗП не указана,https://hh.ru/vacancy/71215540?query=data+engineer,hh.ru
118,Data engineer (Big Data),ЗП не указана,https://hh.ru/vacancy/71258796?query=data+engineer,hh.ru
119,Data Engineer,ЗП не указана,https://hh.ru/vacancy/67136636?query=data+engineer,hh.ru
120,Data Engineer (Комплаенс),ЗП не указана,https://hh.ru/vacancy/73825513?query=data+engineer,hh.ru
121,ML engineer/Data engineer,ЗП не указана,https://hh.ru/vacancy/72373055?query=data+engineer,hh.ru
122,Senior Data / ML Engineer (Персонализация),ЗП не указана,https://hh.ru/vacancy/66550537?query=data+engineer,hh.ru
123,Data Engineer (Data Office),ЗП не указана,https://hh.ru/vacancy/69953081?query=data+engineer,hh.ru
124,Senior Python developer (Ds направление),ЗП не указана,https://hh.ru/vacancy/73984561?query=data+engineer,hh.ru
125,Data Engineer,ЗП не указана,https://hh.ru/vacancy/72242855?query=data+engineer,hh.ru
126,Data engineer,ЗП не указана,https://hh.ru/vacancy/72133256?query=data+engineer,hh.ru
127,Data Engineer,ЗП не указана,https://hh.ru/vacancy/73466753?query=data+engineer,hh.ru
128,Data Engineer (BI–отчетность),ЗП не указана,https://hh.ru/vacancy/70994496?query=data+engineer,hh.ru
129,Senior Data scientist [CJ Monitoring & Discovery],ЗП не указана,https://hh.ru/vacancy/73822931?query=data+engineer,hh.ru
130,Quantitative researcher,5 700 – 7 000 USD,https://hh.ru/vacancy/71914206?query=data+engineer,hh.ru
131,Senior Data Engineer,ЗП не указана,https://hh.ru/vacancy/73828960?query=data+engineer,hh.ru
132,Data Engineer,ЗП не указана,https://hh.ru/vacancy/69658696?query=data+engineer,hh.ru
133,Data Engineer,95 000 – 150 000 руб.,https://hh.ru/vacancy/73016622?query=data+engineer,hh.ru
134,Data engineer\analyst (развитие источников данных Big Data),ЗП не указана,https://hh.ru/vacancy/68958646?query=data+engineer,hh.ru
135,Data scientist (Гео и графы),ЗП не указана,https://hh.ru/vacancy/73913821?query=data+engineer,hh.ru
136,Data engineer (интеграция с источниками),ЗП не указана,https://hh.ru/vacancy/73502816?query=data+engineer,hh.ru
137,Data Scientist/Data Analyst,ЗП не указана,https://hh.ru/vacancy/73872513?query=data+engineer,hh.ru
138,Data Engineer в команду «Сеть Продаж»,ЗП не указана,https://hh.ru/vacancy/70417491?query=data+engineer,hh.ru
139,Senior Data Scientist,ЗП не указана,https://hh.ru/vacancy/73387970?query=data+engineer,hh.ru
140,Дата-инженер / Data Engineer,от 130 000 руб.,https://hh.ru/vacancy/71236005?query=data+engineer,hh.ru
141,Data Engineer в команду создания Дата-платформы Розничного бизнеса,ЗП не указана,https://hh.ru/vacancy/73146053?query=data+engineer,hh.ru
142,Data Engineer,ЗП не указана,https://hh.ru/vacancy/73528420?query=data+engineer,hh.ru
143,Data engineer,ЗП не указана,https://hh.ru/vacancy/73461791?query=data+engineer,hh.ru
144,Старший дата-инженер / Senior Data Engineer,от 270 000 руб.,https://hh.ru/vacancy/72161518?query=data+engineer,hh.ru
145,Middle Data Engineer (Process Mining),ЗП не указана,https://hh.ru/vacancy/73703613?query=data+engineer,hh.ru
146,MLops engineer,ЗП не указана,https://hh.ru/vacancy/73324607?query=data+engineer,hh.ru
147,Data Engineer,ЗП не указана,https://hh.ru/vacancy/68929494?query=data+engineer,hh.ru
148,Data engineer (ДИР),ЗП не указана,https://hh.ru/vacancy/72220912?query=data+engineer,hh.ru
149,Data Engineer/ Аналитик данных,ЗП не указана,https://hh.ru/vacancy/73089818?query=data+engineer,hh.ru
150,Data QA Engineer,ЗП не указана,https://hh.ru/vacancy/73723330?query=data+engineer,hh.ru
151,Data Engineer,ЗП не указана,https://hh.ru/vacancy/73394362?query=data+engineer,hh.ru
152,Data Engineer,ЗП не указана,https://hh.ru/vacancy/71025423?query=data+engineer,hh.ru
153,Data инженер,ЗП не указана,https://hh.ru/vacancy/73855026?query=data+engineer,hh.ru
154,Middle ML Engineer/ Data Engineer,ЗП не указана,https://hh.ru/vacancy/73754731?query=data+engineer,hh.ru
155,Data Engineer направления разработки витрин данных,ЗП не указана,https://hh.ru/vacancy/69418341?query=data+engineer,hh.ru
156,Data engineer в Retail Finance Technology Team,ЗП не указана,https://hh.ru/vacancy/73538037?query=data+engineer,hh.ru
157,Senior Data Scientist / ML Engineer,300 000 – 450 000 руб.,https://hh.ru/vacancy/72889287?query=data+engineer,hh.ru
158,Middle Data Scientist / ML Engineer,ЗП не указана,https://hh.ru/vacancy/71232983?query=data+engineer,hh.ru
159,Data Engineer (СберСпасибо),ЗП не указана,https://hh.ru/vacancy/71867553?query=data+engineer,hh.ru
160,Data Engineer,ЗП не указана,https://hh.ru/vacancy/73474349?query=data+engineer,hh.ru
161,Data-инженер,ЗП не указана,https://hh.ru/vacancy/73508243?query=data+engineer,hh.ru
162,Data Engineer,ЗП не указана,https://hh.ru/vacancy/69667749?query=data+engineer,hh.ru
163,Data Engineer (Ранжирование),ЗП не указана,https://hh.ru/vacancy/70979594?query=data+engineer,hh.ru
164,Data Scientist,ЗП не указана,https://hh.ru/vacancy/73774029?query=data+engineer,hh.ru
165,Data Engineer (Scala/Java),ЗП не указана,https://hh.ru/vacancy/73121584?query=data+engineer,hh.ru
166,Data Engineer,от 300 000 руб.,https://hh.ru/vacancy/72887155?query=data+engineer,hh.ru
167,Data engineer,ЗП не указана,https://hh.ru/vacancy/67996146?query=data+engineer,hh.ru
168,Data engineer,ЗП не указана,https://hh.ru/vacancy/66103323?query=data+engineer,hh.ru
169,Data Engineer,ЗП не указана,https://hh.ru/vacancy/72120422?query=data+engineer,hh.ru
170,Senior Data engineer,ЗП не указана,https://hh.ru/vacancy/67996180?query=data+engineer,hh.ru
171,Data Engineering Team Lead,ЗП не указана,https://hh.ru/vacancy/73700157?query=data+engineer,hh.ru
172,Senior Data Engineer в Финтех,ЗП не указана,https://hh.ru/vacancy/52071705?query=data+engineer,hh.ru
173,Data analyst,ЗП не указана,https://hh.ru/vacancy/70806558?query=data+engineer,hh.ru
174,ML engineer,ЗП не указана,https://hh.ru/vacancy/55441562?query=data+engineer,hh.ru
175,Middle ML Engineer/Data Scientist в Рекомендательную платформу (Big Data),ЗП не указана,https://hh.ru/vacancy/73587898?query=data+engineer,hh.ru
176,Data Engineer,ЗП не указана,https://hh.ru/vacancy/73351033?query=data+engineer,hh.ru
177,Data Engineer (Портал gosuslugi.ru),ЗП не указана,https://hh.ru/vacancy/73527881?query=data+engineer,hh.ru
178,Data engineer,ЗП не указана,https://hh.ru/vacancy/72867512?query=data+engineer,hh.ru
179,Data Engineer,ЗП не указана,https://hh.ru/vacancy/73093549?query=data+engineer,hh.ru
180,Middle/Senior Data Engineer,ЗП не указана,https://hh.ru/vacancy/73726988?query=data+engineer,hh.ru
181,Data Engineer (Promo Forecast),ЗП не указана,https://hh.ru/vacancy/71066116?query=data+engineer,hh.ru
182,Data инженер,ЗП не указана,https://hh.ru/vacancy/73443417?query=data+engineer,hh.ru
183,Data engineer в Yandex Cloud,ЗП не указана,https://hh.ru/vacancy/72889042?query=data+engineer,hh.ru
184,Data engineer,ЗП не указана,https://hh.ru/vacancy/66187574?query=data+engineer,hh.ru
185,Data Engineer,ЗП не указана,https://hh.ru/vacancy/73396605?query=data+engineer,hh.ru
186,Data-инженер (команда поведенческих технологий),ЗП не указана,https://hh.ru/vacancy/73855622?query=data+engineer,hh.ru
187,Data engineer,ЗП не указана,https://hh.ru/vacancy/73233466?query=data+engineer,hh.ru
188,Инженер данных – Delivery Engineer - Департамент управленческого консультирования,ЗП не указана,https://hh.ru/vacancy/72399620?query=data+engineer,hh.ru
189,Data Engineer в команду DWH,ЗП не указана,https://hh.ru/vacancy/71630949?query=data+engineer,hh.ru
190,Data инженер,ЗП не указана,https://hh.ru/vacancy/73388902?query=data+engineer,hh.ru
191,Data engineer performance analyst,ЗП не указана,https://hh.ru/vacancy/73477849?query=data+engineer,hh.ru
192,Data engineer (Рекламная платформа),ЗП не указана,https://hh.ru/vacancy/70980358?query=data+engineer,hh.ru
193,Автор-разработчик курсов/эксперт в Data Engineering,ЗП не указана,https://hh.ru/vacancy/73751287?query=data+engineer,hh.ru
194,Data Architect,ЗП не указана,https://hh.ru/vacancy/71159784?query=data+engineer,hh.ru
195,Data Engineer (middle),ЗП не указана,https://hh.ru/vacancy/73323172?query=data+engineer,hh.ru
