,vacancy,salary,link,site
78,Data Scientist,ЗП не указана,https://hh.ru/vacancy/89803196?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
79,Senior Data Scientist (Цифровой билайн),ЗП не указана,https://hh.ru/vacancy/91942335?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
80,Data Scientist,ЗП не указана,https://hh.ru/vacancy/89011788?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
81,Аналитик данных (Data scientist/дата-инженер),ЗП не указана,https://hh.ru/vacancy/92038786?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
82,Team Lead Data Scientist,ЗП не указана,https://hh.ru/vacancy/90914348?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
83,Middle NLP Data Scientist (LLM),ЗП не указана,https://hh.ru/vacancy/92145626?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
84,Middle Data Scientist,ЗП не указана,https://hh.ru/vacancy/92082236?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
85,Data scientist senior,ЗП не указана,https://hh.ru/vacancy/92220911?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
86,Data scientist,ЗП не указана,https://hh.ru/vacancy/91278563?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
87,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91802701?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
88,Ведущий Data scientist/engineer,до 350 000 ₽,https://hh.ru/vacancy/92118727?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
89,Data scientist,ЗП не указана,https://hh.ru/vacancy/91614093?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
90,"Data Scientist, команда маркетинговой аналитики в Big Data телекоммуникационной компании",ЗП не указана,https://hh.ru/vacancy/91385378?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
91,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91927951?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
92,Data Scientist middle+,ЗП не указана,https://hh.ru/vacancy/92203243?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
93,Data Scientist (Middle),ЗП не указана,https://hh.ru/vacancy/81543934?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
94,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91799262?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
95,Data Scientist (middle),ЗП не указана,https://hh.ru/vacancy/91647145?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
96,Преподаватель курса Data Scientist (онлайн),ЗП не указана,https://hh.ru/vacancy/91893139?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
97,Data Scientist (голосовой ассистент),ЗП не указана,https://hh.ru/vacancy/91805622?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
98,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91432855?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
99,Data Scientist,ЗП не указана,https://hh.ru/vacancy/87855182?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
100,"Data Scientist, Ранжирование поиска",ЗП не указана,https://hh.ru/vacancy/91856868?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
101,NLP Data Scientist,ЗП не указана,https://hh.ru/vacancy/91799306?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
102,Middle Data Scientist,ЗП не указана,https://hh.ru/vacancy/91898828?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
103,"Data Scientist, рекомендательная система",ЗП не указана,https://hh.ru/vacancy/91821498?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
104,Middle Data Scientist,ЗП не указана,https://hh.ru/vacancy/92099337?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
105,Senior Data Scientist (Ranking&Search),ЗП не указана,https://hh.ru/vacancy/92281157?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
106,Data Scientist,150 000 – 150 000 ₽,https://hh.ru/vacancy/91436976?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
107,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91745934?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
108,Senior Data Scientist,ЗП не указана,https://hh.ru/vacancy/91264131?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
109,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91678475?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
110,Senior Data Scientist,ЗП не указана,https://hh.ru/vacancy/92155496?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
111,Data Scientist (Алгоритмы оптимизации),ЗП не указана,https://hh.ru/vacancy/91896830?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
112,Data Scientist (Центр модельных рисков сервисных блоков и экосистемы),ЗП не указана,https://hh.ru/vacancy/91645029?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
113,Data Scientist (Центр модельных рисков КИБ),ЗП не указана,https://hh.ru/vacancy/91603708?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
114,Data Scientist,ЗП не указана,https://hh.ru/vacancy/90458833?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
115,"Ведущий Data Scientist, Ранжирование поиска",ЗП не указана,https://hh.ru/vacancy/67411146?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
116,Data Scientist,ЗП не указана,https://hh.ru/vacancy/90568368?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
117,"Data Scientist (NLP, LLM)",ЗП не указана,https://hh.ru/vacancy/90944456?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
118,Data Scientist/ML Engineer/AI,ЗП не указана,https://hh.ru/vacancy/90458703?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
119,Middle+/Senior Data Scientist,ЗП не указана,https://hh.ru/vacancy/92080494?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
120,Team Lead Data Scientist,ЗП не указана,https://hh.ru/vacancy/92098465?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
121,NLP Data Scientist,ЗП не указана,https://hh.ru/vacancy/90266519?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
122,Data Scientist/Python-разработчик,ЗП не указана,https://hh.ru/vacancy/91435462?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
123,Middle+ Data Scientist,ЗП не указана,https://hh.ru/vacancy/91857877?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
124,Аналитик данных \ Data Scientist,ЗП не указана,https://hh.ru/vacancy/91751372?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
125,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91668817?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
126,Data scientist (команда Collection),ЗП не указана,https://hh.ru/vacancy/86879304?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
127,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91283473?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
128,Data Scientist (валидация ПВР моделей),ЗП не указана,https://hh.ru/vacancy/91947727?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
129,Data-scientist,ЗП не указана,https://hh.ru/vacancy/91653354?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
130,Data Scientist LLM (Global markets),ЗП не указана,https://hh.ru/vacancy/91801738?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
131,Data Scientist (NLP),ЗП не указана,https://hh.ru/vacancy/91518155?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
132,Data Scientist / Kapital Bank (Azerbaijan),1 000 – 4 000 ₼,https://hh.ru/vacancy/91639535?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
133,Senior Data Scientist,ЗП не указана,https://hh.ru/vacancy/91898644?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
134,Data Scientist (валидация моделей),ЗП не указана,https://hh.ru/vacancy/91668094?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
135,Data Scientist (NLP),ЗП не указана,https://hh.ru/vacancy/91556329?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
136,Data Scientist/Риск-менеджер,ЗП не указана,https://hh.ru/vacancy/91757247?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
137,Data Scientist,ЗП не указана,https://hh.ru/vacancy/88637019?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
138,Data Scientist (Модели CRM),ЗП не указана,https://hh.ru/vacancy/88605008?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
